Date,Country,Area,Activity,Injury,Fatal,Species
1985-10-22,Usa,California,Hookah diving for abalone,Minor injury to foot & ankle,N,Sevengill Shark
1985-10-24,South Africa,Eastern Cape Province,Body boarding,"Left leg severely lacerated, superficial lacerations of right leg,  board damaged",N,White Shark
1985-11-03,Usa,California,Fishing,Forearm bitten by hooked shark PROVOKED INCIDENT,N,
1985-11-05,Usa,California,Boat,2 semi-circular bites on aft starboard tube of boat,N,White Shark
1985-11-11,Australia,Queensland,Fishing,Laceration to lower left leg by hooked shark PROVOKED INCIDENT,N,1M Shark
1985-12-10,Usa,North Carolina,,Survived,N,Sandtiger Shark
1985-12-22,South Africa,Kwazulu-Natal,Surfing,"Both surfers boards were bumped by sharks, Moolman sustained abrasions on his arm and leg",N,
1986-01-12,Usa,Florida,Surfing,Puncture wounds to both feet,N,Blacktip Shark
1986-02-01,Australia,Victoria,Surfing,"No injury, knocked into water & board bitten",N,Whaler Shark
1986-02-06,South Africa,Western Cape Province,Spearfishing,2 punctures in upper arm,N,Raggedtooth Shark
1986-02-07,South Africa,Eastern Cape Province,Swimming,Lower leg lacerated,N,Raggedtooth Shark
1986-02-17,South Africa,Eastern Cape Province,Surfing,"No injury, knocked off board",N,
1986-02-18,South Africa,Eastern Cape Province,Surfing,"No injury, board bitten",N,White Shark
1986-03-15,South Africa,Kwazulu-Natal,Treading water,Foot bitten,N,
1986-03-18,Spain,C�Diz,Windsurfing,Foot severed,N,White Shark
1986-04-20,Usa,Hawaii,"Fishing, fell from rocks & disappeared",Pieces of clothing & human flesh recovered by Fire Department divers who encountered a large shark,Y,
1986-05-15,South Korea,,Shell diving,FATAL,Y,
1986-05-18,Australia,New South Wales,Scuba diving,Survived,N,Wobbegong Shark
1986-07-09,Usa,South Carolina,,Back of left thigh bitten,N,
1986-07-26,Australia,Western Australia,Fishing,"No injury to occupants. Shark bit motor, lifting stern a half-metre out of the water",N,White Shark
1986-08-03,Australia,New South Wales,Scuba diving,Survived,N,Wobbegong Shark
1986-08-10,South Africa,Western Cape Province,Spearfishing,"No injury, shark made threat display & impaled itself on spear ",,
1986-08-19,Usa,North Carolina,Surfing,Hand bitten,N,
1986-10-03,Usa,Florida,Swimming,Hip & thigh bitten,N,Lemon Shark
1986-10-05,South Africa,Kwazulu-Natal,Racing ski,"No injury, ski bitten",N,
1986-10-17,South Africa,Kwazulu-Natal,NSB Meshing,Minor lacerations & puncture wounds to right leg from netted shark taken onboard skiboat PROVOKED INCIDENT,N,Raggedtooth Shark
1986-11-04,Usa,Florida,Surfing,Ankle bitten,N,
1986-11-19,Usa,Florida,Surfing,Laceration to dorsum of left foot,N,
1986-11-30,Usa,Florida,Surfing,5' gash in leg,N,
1986-12-04,South Africa,Western Cape Province,Spearfishing,"No injury, no attack, 1.8 m copper shark made threat displays",,
1986-12-06,Usa,California,Free diving  & spearfishing (submerged),"Punctured lung, lacerations to shoulder, face, jaw, neck & forearm",N,White Shark
1986-12-06,Bahamas,Florida Straits,Adrift after ditching plane in the sea,"No injury, bumped  by sharks",N,
1986-12-11,Usa,Florida,Surfing,Forearm bitten,N,Blacktip Shark
1986-12-22,South Africa,Western Cape Province,Body boarding,"FATAL, legs bitten ",Y,White Shark
1986-12-31,South Africa,Western Cape Province,Spearfishing,2 punctures in lower leg,N,Raggedtooth Shark
1987-01-06,Australia,Queensland,Swimming,Right leg lacerated,N,
1987-01-28,South Africa,Eastern Cape Province,Spearfishing,Puncture wounds to right hand,N,White Shark
1987-02-19,Solomon Islands,Between Honiara & Isabel Island,The inter-island ferry Vula sank in heavy weather,FATAL,Y,
1987-02-28,Usa,Florida,Windsurfing,"Lacerations to toe, heel & ankle of right foot",N,Spinner Shark
1987-03-30,South Africa,Western Cape Province,,"No injury to occupants, boat holed by hooked shark PROVOKED INCIDENT",N,White Shark
1987-03-30,Australia,Western Australia,Surfing,Calf lacerated,N,Whaler Shark
1987-04-01,Vanuatu,Malampa Province,Swimming,FATAL,Y,
1987-04-15,Usa,Hawaii,Swimming from shore to anchored sailboat,"Presumed FATAL Disappeared, his shark-bitten swim trunks were found on the seafloor",Y,
1987-04-18,Usa,Texas,Swimming,Right arm severed above elbow,N,
1987-04-19,South Africa,Kwazulu-Natal,Fishing,"Slipped off rocks & was treading water when he disappeared, body mutilated by shark/s",,
1987-05-06,Australia,New South Wales,Fishing,3 fingers severed by metal trace as he tried to haul in a hooked shark. PROVOKED ACCIDENT,N,
1987-05-08,Usa,Florida,Surfing,Hand lacerated  ,N,
1987-05-25,Usa,South Carolina,,"6"" cut to thigh",N,
1987-06-13,Usa,Florida,Fishing,Left hand bitten by shark he was dragging ashore by its head PROVOKED INCIDENT,N,Blacktip Shark
1987-07-09,Bahamas,Exuma Islands,Snorkeling,Right leg bitten,N,
1987-07-11,Usa,South Carolina,Dropping anchor,No injury to occupants. Shark grabbed anchor ,N,
1987-07-12,Usa,Texas,Wading,Puncture wounds to right foot,N,
1987-07-12,Usa,Texas,Body surfing,Left foot bitten,N,
1987-07-21,Usa,Florida,Surfing,Right foot & ankle lacerated,N,
1987-08-15,Usa,California,Surfing (sitting on his board),Fingers & surfboard injured,N,White Shark
1987-08-20,Usa,Florida,Wading,Lower left leg lacerated,N,
1987-09-13,South Africa,Western Cape Province,Surfing,Torso lacerated,N,White Shark
1987-09-18,Australia,South Australia,Scuba Diving for scallops,FATAL,Y,White Shark
1987-10-06,Dominican Republic,Between Dr And Puerto Rico,"Vessel caught fire & capsized, survivors in the water","Of 160 people on board, >100 missing",Y,50 Shark
1987-10-11,South Africa,Western Cape Province,Spearfishing,Left thigh & calf lacerated,N,White Shark
1987-10-25,South Africa,Kwazulu-Natal,Boogie boarding,Abrasion to forearm,,
1987-10-26,Usa,California,Surfing,Buttock & leg bitten,N,
1987-11-21,Usa,Florida,Surfing,Leg lacerated,N,
1987-12-17,Usa,Florida,Surfing,Left calf bitten,N,Blacktip Shark
1987-12-20,Philippines,Mindoro,Ferry boat Dona Paz with 4431 passengers exploded & caught fire when she collided with an  oil tanker ,25 people survived; 300 shark-mutilated bodies were recovered,Y,
1988-01-05,South Africa,Western Cape Province,"Returning to shore, collided with shark","No injury to occupants; shark ripped off fibreglass hull, swamping boat PROVOKED INCIDENT",N,
1988-01-06,South Africa,Western Cape Province,Attempting to lasso shark's tail,Foot lacerated by hooked shark PROVOKED INCIDENT,N,Copper Shark
1988-01-14,Usa,Louisiana,Fishing,Hand bitten by captured shark PROVOKED INCIDENT,N,Mako Shark
1988-01-21,Australia,Torres Strait,Fell overboard  from the Taiwanese fishing trawler Lien Cheng Feu ,His remains were recovered from a shark caught by  the trawler Ho Tai No.12 in March 1988,,
1988-01-27,South Africa,Kwazulu-Natal,Surfing,Minor injury to leg,,
1988-02-02,Fiji,Vanua Levu,Diving,Lacerations to left arm & waist,N,Tiger Shark
1988-02-12,Australia,Western Australia,Drift fishing,"No injury to occupants; shark leapt into boat, almost capsizing it and destroyed the inside of the boat",N,Mako Shark
1988-02-13,South Africa,Kwazulu-Natal,Lying atop surfboard,"Leg bitten, surgically amputated",N,Zambezi Shark
1988-02-14,South Africa,Eastern Cape Province,Surfing,Ankle bitten,N,
1988-02-15,South Africa,Kwazulu-Natal,,"No injury to occupants, pontoon puctured",N,Raggedtooth Shark
1988-03-14,Reunion,Saint-Pierre,Surfing,Laceration to hand,N,
1988-03-16,South Africa,Kwazulu-Natal,Surfing,"Lower left leg bitten, hand lacerated",N,
1988-03-25,Usa,Hawaii,Body surfing,Ankle bitten,N,
1988-03-31,Usa,Florida,Standing ,Foot bitten,N,
1988-04-14,Usa,Florida,Windsurfing,"6"" laceration to left foot",N,
1988-04-14,Usa,Florida,Surfing,Right hand bitten,N,
1988-04-15,Usa,Hawaii,Onboard 21' powerboat that capsized in rough seas,"Human remains, believed to be those of Mr. Goo, washed ashore along the Waihee shore several days later",,
1988-04-15,Usa,Florida,Swimming,Lacerations to left foot,N,
1988-04-24,Usa,California,Surfing,No Injury,N,White Shark
1988-04-28,Reunion,Saint-Louis,p�cheur de bichiques,FATAL,Y,
1988-05-04,Usa,Florida,Surfing / treading water,Left leg & right foot bitten,N,
1988-05-10,Usa,Florida,Surfing,Left foot bitten,N,
1988-05-27,South Korea,,Shell diving,FATAL,Y,
1988-06-01,Usa,Florida,Surfing,Cuts to right foot and ankle,N,
1988-06-05,Usa,Florida,Swimming,Four lacerations to his ankle,N,
1988-06-09,Usa,South Carolina,Sittting in water with his child,Left leg bitten,N,Sand Shark
1988-06-16,Usa,North Carolina,Scuba diving,Survived,N,Sandtiger Shark
1988-06-16,South Africa,Western Cape Province,Spearfishing,Left arm lacerated,N,White Shark
1988-07-04,Bahamas,,Snorkeling,Leg lacerated,N,
1988-07-04,Usa,Florida,Boogie boarding,Punctures to lower left leg & foot,N,
1988-07-11,Usa,Florida,Swimming,Punctures & deep scratches to foot & buttock,N,
1988-07-17,Bahamas,,Diving,Right palm lacerated,N,Reef Shark
1988-07-19,Bahamas,,Spearfishing on scuba,Cheek bitten,N,Reef Shark
1988-07-23,Bahamas,,Free diving & spearfishing ,Hand bitten,N,
1988-08-11,Usa,California,Surfing,Thigh bitten,N,White Shark
1988-08-19,Japan,Tokyo Prefecture,,Survived,N,
1988-08-22,Italy,Manfredonia,,Survived,N,
1988-08-22,Usa,Louisiana,Diving in Sharkey's Reef restaurant�s aquarium,Arm bitten by captive shark PROVOKED INCIDENT,N,Tiger Shark
1988-09-13,Usa,Florida,Snorkeling,"FATAL, thigh & hand lacerated",Y,Bull Shark
1988-09-13,Usa,Florida,Walking,Dennis' hand injured; Ann's right forearm bitten,N,
1988-09-28,Usa,Florida,Surfing,Lacerations to foot,N,
1988-10-06,Australia,South Australia,Surfing,Lower right  leg lacerated,N,
1988-10-10,Usa,Florida,Surfing,Hand lacerated,N,
1988-10-11,Usa,Florida,Surfing,Left leg lacerated,N,
1988-10-14,Usa,Florida,Surfing,Lacerations to left thigh,N,
1988-10-22,Australia,Victoria,Surfing,Lacerations to right leg,N,
1988-10-23,Usa,Oregon,Surfing (sitting on his board),Leg bitten & femur fractured,N,White Shark
1988-10-24,Philippines,Viscayan Sea,The MV Dona Marilyn sank in Typhoon Unsang with the loss of 389 lives,"According to survivors, many people were taken by sharks",Y,
1988-11-07,Australia,Queensland,"The Christie V sank on 11/6/1988, survivors were adrift on a dinghy",FATAL,Y,
1988-11-08,Australia,Queensland,"The Christie V sank on 11/6/1988, survivors were adrift on a dinghy","FATAL  When James Coucom, the lone survivor, was rescued, ""2 sharks were pounding on the dinghy""",Y,
1988-12-15,Chile,Valpariso Province,Skindiving,FATAL,Y,White Shark
1989-01-03,Australia,New South Wales,Surfing with dolphins,"Abdomen lacerated, surfboard holed",N,Tiger Shark
1989-01-08,Usa,Hawaii,Swimming in strong current with 3 others when he disappeared,"Lower part of body found 6 days later, x-rays revealed teeth marks in femur & tibia",Y,
1989-01-20,South Africa,Kwazulu-Natal,Lifesaving drill,Thigh bitten,N,
1989-01-20,Usa,Hawaii,Body boarding,Foot bitten,N,Hammerhead Shark
1989-01-26,Usa,California,Kayaking,Reported by media as shark attack but forensic evidence indicated the kayaker died prior to any shark involvement,,
1989-01-26,Usa,California,Kayaking,"FATAL, thigh bitten, hands lacerated  ",Y,White Shark
1989-02-02,Italy,Tyrrhenian Sea,"Scuba diving, but swimming on surface",FATAL. His body not recovered,Y,White Shark
1989-02-15,South Africa,Kwazulu-Natal,Windsurfing,Foot bruised & minor lacerations,N,
1989-02-19,South Africa,Western Cape Province,Fishing,Thigh lacerated & abraded  PROVOKED INCIDENT,N,Gaffed Shark
1989-03-04,Australia,Western Australia,Kayaking,"No injury, but the kayak was bitten by the shark",N,Tiger Shark
1989-03-09,Australia,South Australia,Surfing,Thigh bitten FATAL,Y,White Shark
1989-04-03,Usa,Hawaii,Paddling on surfboard,Calf lacerated,N,
1989-04-09,Usa,California,,No injury to occupants. Shark rammed boat 4 times,N,White Shark
1989-04-12,Usa,Washington,Surfing (lying prone on his board),Forearm bitten,N,White Shark
1989-04-23,Usa,Florida,Swimming,Right calf bitten,N,
1989-06-03,South Africa,Eastern Cape Province,Free diving,Forearm bitten,N,White Shark
1989-06-05,South Africa,Eastern Cape Province,Surfing,"No injury, board bitten",N,White Shark
1989-06-06,Italy,Tuscany,Windsurfing (urinating on his board),Upper right thigh bitten,N,White Shark
1989-06-17,Usa,Louisiana,Spearfishing,Puncture wounds & lacerations to both legs,N,Sandtiger Shark
1989-06-29,Usa,Hawaii,Fell off surfboard 20' from shore,Foot & ankle severely bitten,N,
1989-07-07,Usa,Texas,Playing ,Leg bitten,N,
1989-07-14,Usa,Florida,Surfing,5-inch gash on left leg,N,
1989-07-19,Reunion,Sainte-Suzanne,Surfing,FATAL,Y,
1989-07-20,South Africa,Eastern Cape Province,Surfing,Torso bitten,N,White Shark
1989-08-06,Australia,Queensland,Fishing for sharks,Laceration to arm  PROVOKED INCIDENT,N,White Shark
1989-08-09,Bahamas,Great Exuma Island,Spearfishing,Severe hand and arm injuries; right hand surgically amputated,N,
1989-08-13,Australia,New South Wales,Surfing,"No injury, shark took chunk out of surfboard",N,Whaler Shark
1989-08-22,South Africa,Western Cape Province,Surfing,Multiple Injuries,N,White Shark
1989-08-22,Usa,Florida,Swimming,3 wounds on left hand,N,
1989-08-29,Australia,Queensland,Feeding fish,Left leg bitten by captive shark                   PROVOKED INCIDENT,N,Nurse Shark
1989-09-03,Usa,California,Filming 5' blue shark,Hand  & both arms bitten   PROVOKED INCIDENT,N,
1989-09-09,Usa,California,Hookah diving for abalone (descending),Leg bitten,N,White Shark
1989-09-09,Usa,North Carolina,Surfing,Non-fatal,N,Sandbar Shark
1989-09-10,Usa,California,Observing a shark feeding on a carcass of a humpback whale,No injury to occupants. Shark bit boat's swim step & repeatedly pushed the boat away whenever if came within 4 to 5 m of the whale carcass,N,White Shark
1989-09-13,Usa,Florida,"Fishing, stepped on hooked shark's head",Bitten by hooked shark PROVOKED INCIDENT,N,Lb Shark
1989-09-17,South Africa,Western Cape Province,Free diving,Chest lacerated,N,White Shark
1989-10-01,Australia,Victoria,Surfing,No details,,White Shark
1989-10-08,Usa,North Carolina,Diving,FATAL,,
1989-10-11,Usa,Texas,Surfing,Foot & leg bitten,N,
1989-10-14,Usa,Hawaii,Scuba diving,"Disappeared 15 minutes into shallow dive. Decapitated body minus arm found by divers the following morning, then a large tiger shark appeared and consumed most of remains",,
1989-10-22,Australia,Tasmania,Surfing,"No injury, board bitten",N,White Shark
1989-10-29,Australia,Northern Territory,Swimming,Puncture marks to right calf,N,
1989-11-02,Australia,Queensland,Swimming in canal,Left ankle broken & lacerated,N,
1989-11-12,Usa,Hawaii,"Wading, knocked down & swept away by large waves",Lower porton of body recovered 3 days later. Note: rare sighting of shark made at same beach on 11-5-1989 ,,
1989-11-18,South Africa,Western Cape Province,Free diving & spearfishing,FATAL,Y,White Shark
1989-11-22,Australia,Victoria,Surfing,Thigh bitten,N,White Shark
1989-12-02,Australia,Queensland,Swimming,"Swept out to sea, feared taken by shark",,
1989-12-19,Usa,Hawaii,On board 51' fishing vessel One Ki,Left leg & foot bitten  by shark brought onboard. PROVOKED INCIDENT,N,
1990-01-12,Usa,California,Surfing (sitting on his board),"No injury, board bitten",N,White Shark
1990-02-05,Usa,Florida,Board sailing,Foot bitten,N,
1990-02-17,Usa,Hawaii,Scuba diving & spearfishing,Right arm severed  FATAL,Y,Two Shark
1990-03-05,Reunion,Sainte-Marie,Surfing,Survived,N,Bull Shark
1990-03-24,Fiji,Laucala Island,Swimming,Lacerations to right leg,N,
1990-04-01,Usa,Hawaii,Sitting on surfboard,"Ankle lacerated, lower left leg severely abraded ",N,
1990-04-06,Australia,Queensland,Surfing,"No injury, board bitten",N,
1990-04-07,Australia,Queensland,Surfing,"No injury, board broken in two",N,
1990-04-08,Australia,Queensland,Free diving for trochus,Presumed FATAL,Y,
1990-04-09,Australia,Queensland,Surfing,"Lacerations & abrasions, board bitten in half",N,Tiger Shark
1990-04-14,South Africa,Eastern Cape Province,Lying on surfboard & paddling,Leg bitten,N,White Shark
1990-05-06,South Africa,Eastern Cape Province,Resting on surfboard,Thigh severely lacerated,N,White Shark
1990-05-10,Australia,Queensland,"Snorkeling, possibly holding a fish",Lacerations,N,
1990-05-10,Australia,Queensland,Snorkeling,Lacerations,N,
1990-05-13,South Africa,Kwazulu-Natal,Fishing,"No injury to occupants, hooked shark freed itself, then rammed stern of boat PROVOKED INCIDENT",N,Kg Shark
1990-06-23,Bahamas,,Spearfishing,Left forearm bitten,N,
1990-06-24,South Africa,Western Cape Province,Scuba diving (but on surface),"FATAL, thigh bitten  ",Y,White Shark
1990-07-08,Usa,Florida,Surfing,Minor injury to left ankle & foot,N,
1990-07-22,Usa,Texas,Wading,10-inch laceration to right foot,N,
1990-08-19,Usa,Texas,Wade fishing,Minor injury,N,
1990-08-19,Usa,Texas,Surfing,Minor cuts to foot,N,
1990-08-28,Usa,California,Surfing,4 punctures on leg & board bitten,N,White Shark
1990-08-30,Usa,Florida,SCUBA diving,"Disappeared, body recovered with large bite on thigh",,
1990-09-05,Usa,California,Kayaking,"No injury, kayak capsized",N,White Shark
1990-09-08,Usa,California,"Free diving / spearfishing, from paddleboard & floating on the surface","Shark rammed & overturned paddleboard, knocking him into water & bit his head, lacerating his face & neck",N,White Shark
1990-09-15,South Africa,Western Cape Province,Spearfishing,Right hand lacerated,N,White Shark
1990-10-12,Usa,Florida,Surfing,Superficial injuries to left foot & ankle,N,
1990-10-15,Usa,Hawaii,Surfing,"No Injury, board bitten",N,Tiger Shark
1990-10-20,Usa,Florida,Surfing,Wrist bitten,N,Spinner Shark
1990-10-25,Australia,South Australia,Surfing,Lacerations to foot,N,
1990-10-27,Australia,Queensland,Swimming,Buttocks & hip bitten,N,
1990-10-30,Usa,Florida,Surfing,Cuts on left foot ,N,
1990-10-30,Usa,Florida,Surfing,"Hand & wrist bitten, tooth fragments in wound",N,
1990-11-01,Usa,Florida,Surfing,"Ear, shoulder, arm, wrist & ear injured",N,
1990-11-03,Usa,California,Scuba diving (but on surface),Leg bitten,N,White Shark
1990-11-28,Australia,Queensland,Swimming ,"Abdomen, hip, leg & arm bitten",N,
1991-01-09,Australia,Western Australia,Surf-skiing,"No injury, shark brushed ski",N,
1991-01-19,Australia,Queensland,Swimming,"Hands, legs & buttocks lacerated",N,
1991-02-12,South Africa,Western Cape Province,Spearfishing,Foot & swim fin bitten,N,White Shark
1991-02-24,Usa,Oregon,Surfing,Calf lacerated & board bitten,N,White Shark
1991-03-03,Australia,New South Wales,Scuba diving,Lacerations to arm & leg,N,Nurse Shark
1991-04-03,Usa,Hawaii,Sitting on surfboard,Deep lacerations to calf & ankle,N,
1991-04-16,Usa,Florida,"Surfing, collided with shark",Right thigh,N,
1991-04-16,Usa,Maryland,Diving,Minor injury by captive shark PROVOKED INCIDENT,N,Female Shark
1991-04-24,Brazil,Pernambuco,Fishing,2 fingers severed by netted shark PROVOKED INCIDENT,N,
1991-05-19,South Africa,Western Cape Province,Scuba diving,"No injury, tank scratched by shark",N,White Shark
1991-05-26,Usa,Hawaii,Sitting on surfboard,Right calf bitten,N,
1991-06-07,Usa,Florida,Swimming behind sailboat,"Left ankle, calf, thigh and abdomen bitten",N,Lemon Shark
1991-06-07,Hong Kong,Port Shelter,Swimming ,Abdomen bitten & leg severed  FATAL,Y,Tiger Shark
1991-06-26,Usa,Florida,Surfing,Hand bitten,N,
1991-06-28,Hong Kong,Kowloon Peninsula,Fishing,"FATAL, right arm severed  ",Y,
1991-07-01,Usa,California,Surfing,"Forearm, upper thigh, knee & ankle lacerated",N,White Shark
1991-07-01,Reunion,L'Etang-Sal�,Surfing,Left arm severed,N,Tiger Shark
1991-07-07,Usa,Florida,Swimming,Arm bitten,N,
1991-07-18,Usa,Florida,Swimming from makeshift raft  to life vest after fishing boat sank,Punctures in lower abdomen & groin ,N,Blacktip Shark
1991-07-27,Usa,Florida,Snorkeling,Arm bitten,N,Reef Shark
1991-07-30,Italy,Ligurian Sea,Canoeing,No Injury to occupant; canoe bitten,N,White Shark
1991-08-09,Usa,Florida,Fishing,Laceration to right forearm PROVOKED INCIDENT,N,Lemon Shark
1991-08-12,Usa,Florida,Wading,Bite to left thigh & calf,N,
1991-08-26,Usa,South Carolina,Swimming,Deep cuts on lower leg,N,Sand Shark
1991-08-30,Australia,Queensland,Finning the shark that bit him,"Shark bit his arm, nearly severing it PROVOKED INCIDENT",N,
1991-09-08,Australia,South Australia,Scuba diving,FATAL,Y,White Shark
1991-10-05,Usa,California,Surfing,"Arm, shoulder & back bitten",N,White Shark
1991-10-12,Usa,Florida,Surfing,Right foot & ankle lacerated,N,
1991-11-14,Usa,Florida,Fishing,Hand bitten as he was cleaning hooked shark PROVOKED INCIDENT,N,
1991-11-19,Usa,Hawaii,"Fishing from rocks, swept out to sea by large wave & treading water","Body not recovered, shorts found indicating shark bite on left side",Y,Tiger Shark
1991-11-26,Usa,Hawaii,Snorkeling,Right calf abraded,N,Tiger Shark
1991-11-26,Usa,Hawaii,Snorkeling,"FATAL, right leg at hip, left leg and right forearm severed  ",Y,Tiger Shark
1991-12-04,Usa,California,Hookah diving for sea urchins,"No injury, shark became tangled in hose & towed him 100'",N,White Shark
1992-01-03,Japan,Ehime Prefecture,,Survived,N,
1992-01-06,Mauritius,,Fishing,Survived,N,Reef Shark
1992-01-08,South Africa,Kwazulu-Natal,Spearfishing,Left cheek lacerated,N,Blacktip Shark
1992-01-23,South Africa,Kwazulu-Natal,Swimming ,Right foot lacerated,N,Zambesi Shark
1992-01-29,Australia,New South Wales,Boogie boarding,Right leg lacerated,N,Whaler Shark
1992-01-29,Reunion,La Saline-Les-Bains,Spearfishing,Survived,N,Grey Shark
1992-02-09,Australia,Tasmania,Surfing,"No injury, shark allegedly took his surfboard & slashed his wetsuit. Shark involvement questionable",,
1992-02-14,Japan,Ehime Prefecture,Diving for pen shells,"No injury, steel diving helmet bitten 3 times",N,
1992-02-19,Usa,Hawaii,Body boarding,FATAL Disappeared. His board washed ashore next morning with crescent-shaped piece missing and serrated toothmarks of a shark,Y,Tiger Shark
1992-03-08,Usa,Oregon,Surfing (sitting on his board),"Left shoulder & side bitten, board broken",N,White Shark
1992-03-08,Japan,Ehime Prefecture,"Fishing for yellowtail, Seriola quinqueradiata",No injury to boat or occupant,N,
1992-03-08,Japan,Ehime Prefecture,Hookah diving for pen shells ,"FATAL, body not recovered",Y,White Shark
1992-03-10,Australia,Victoria,Surfing,"Right thigh, back & hand lacerated",N,Whaler Shark
1992-03-28,Usa,Hawaii,"Surfing, paddling seawards","Foot bitten, crescent of bitemarks in both sides of board",N,Tiger Shark
1992-04-09,South Africa,Eastern Cape Province,Surfing,Punctures & lacerations on lower leg,N,
1992-04-24,New Zealand,Antarctic Ocean,Snorkeling,"Right forearm severed, left forearm lacerated & broken",N,White Shark
1992-05-22,Reunion,Saint-Joseph,Surfing,FATAL,Y,Tiger Shark
1992-05-31,Usa,North Carolina,Scuba diving ,Disappeared. His ripped dive jacket was recovered,,
1992-06-17,Japan,Ehime Prefecture,Preparing to fish for jack-mackerel,"No inujury to occupant. Shark bit boat repeatedly, leaving  2 teeth in the bottom keel of the boat",N,White Shark
1992-06-19,Vanuatu,Malampa Province,Swimming,Right leg was bitten above and below the knee and an artery was punctured,N,
1992-06-28,Reunion,Saint-Paul,Surfing,FATAL,Y,Bull Shark
1992-06-28,Brazil,Pernambuco,Swimming,FATAL,Y,
1992-07-08,Brazil,Maranh�O,Surfing,"Lower leg bitten, surgically amputated",N,
1992-07-08,Brazil,Maranh�O,Surfing,Arm bitten,N,
1992-07-21,Usa,Florida,Standing,Lacerations to left foot,N,Small Shark
1992-07-23,Usa,Hawaii,"Zosimo & his son, Jeffrey Popa, failed to return from overnight fishing trip in a 14' boat, Boat apparently sank, debris recovered but his son & boat were never found","Death due to drowning. His body, tied to floating ice chest, had 2 small post-mortem bites due to cookie cutter shark",,
1992-08-17,Usa,Florida,Snorkeling,"Grabbed metal leader to shark, shark clamped on  & bit  left bicep PROVOKED INCIDENT",N,Nurse Shark
1992-08-18,Usa,California,Surfing,"No injury, board bitten",N,White Shark
1992-08-21,Usa,Hawaii,Fell from cliff while fishing & disappeared in strong current,Body recovered next morning. Injuries appeared to be inflicted post mortem,,
1992-08-25,Australia,South Australia,Surfing,"Minor cuts, sufboard bitten",N,White Shark
1992-08-29,Bahamas,Abaco Islands,"Snorkeling, carrying a speared fish in her hand",Left hand bitten,N,Blacktip Shark
1992-09-10,Brazil,Pernambuco,Swimming,FATAL,Y,
1992-09-11,Usa,Florida,Standing,Right ankle & calf bitten,N,
1992-09-13,Usa,Oregon,Surfing,Minor bruises,N,White Shark
1992-09-18,Brazil,Pernambuco,Body boarding,Left leg severely bitten,N,
1992-10-01,Australia,Queensland,Surfing,FATAL,Y,White Shark
1992-10-11,Brazil,Maranh�O,Boogie boarding,Legs bitten,N,
1992-10-15,Australia,New South Wales,Scuba diving,Minor injury while delivering pup of female shark caught in a net,N,Nurse Shark
1992-10-22,Usa,Hawaii,Surfing,"Chest & arm bruised & scratched, 15"" crescent-shaped piece removed from board",N,Tiger Shark
1992-10-29,Usa,California,Hookah diving for sea urchins,Foot & swim fin punctured,N,White Shark
1992-11-05,Usa,Hawaii,Body boarding,Right leg severely lacerated  FATAL,Y,Tiger Shark
1992-11-06,Usa,Florida,Surfing,Heel bitten,N,
1992-11-11,Usa,California,Scuba diving (submerged),Foot punctured,N,Unidentified Shark
1992-11-12,Fiji,Wakaya Island,Scuba diving,Left arm lacerated,N,Hammerhead Shark
1992-11-14,Usa,California,Kayaking,"No injury, kayak bitten",N,White Shark
1992-11-23,Usa,Florida,Surfing,Right ankle bitten,N,
1992-11-25,Usa,Florida,Surfing,Forearm  & hand bitten; tooth fragments of the shark were recovered from the surfer's hand,N,Blacktip Shark
1992-11-29,Usa,California,Spearfishing / free diving,10 puncture wounds to right calf,N,Mako Shark
1992-12-23,Usa,Hawaii,Lying on surfboard,"Minor lacerations to hand, 15"" crescent-shaped piece removed from surfboard",N,Tiger Shark
1992-12-28,Usa,Hawaii,"Standing in waist-deep water, helping his father tend a gill net containing dead fish",Right leg bruised & abraded,N,Tiger Shark
1993-01-02,Usa,Oregon,Surfing,"No injury, shark bit board",N,White Shark
1993-01-04,Caribbean Sea,,   ,"No injury to occupants. Sharks, attracted to offal from slaughtered dolphin, attacked & damaged their canoe",N,Whitetip Shark
1993-01-05,Australia,Queensland,Spearfishing,"6"" laceration to left forearm",N,
1993-01-23,Brazil,Pernambuco,Body boarding,Left leg bitten,N,
1993-02-18,Tonga,Tongapatu Group,Sea disaster,Foot bitten,N,
1993-02-19,Tonga,Tongapatu Group,Sea disaster,Puncture wounds to right thigh,N,
1993-03-12,Usa,California,Free diving & spearfishing (ascending),"No injury, swim fin bitten",N,White Shark
1993-03-14,Usa,Hawaii,Paddling on surfboard,Lower legs lacerated ,N,Tiger Shark
1993-03-17,Japan,Ehime Prefecture,,Survived,N,White Shark
1993-03-22,Usa,Florida,Floating on his back,Both feet lacerated,N,
1993-03-27,Brazil,Pernambuco,Surfing,Survived,N,
1993-06-01,Hong Kong,New Territories,Swimming,FATAL,Y,
1993-06-05,Australia,Tasmania,Scuba diving at seal colony,FATAL,Y,White Shark
1993-06-09,Australia,New South Wales,Scuba diving,FATAL,Y,White Shark
1993-06-10,Usa,Hawaii,Paddling on surfboard or body board,Feet & ankles bitten,N,Tiger Shark
1993-06-11,Mexico,Quintana Roo,Scuba diving,FATAL,Y,
1993-06-11,Hong Kong,New Territories,Swimming,FATAL,Y,
1993-06-29,Reunion,Saint-Paul,Body boarding,Note: see 1992.06.28,N,
