Date,Country,Area,Activity,Injury,Fatal,Species
1880-01-03,Australia,New South Wales,Bathing,Lacerations to leg,N,
1880-01-22,Australia,New South Wales,Fishing,"No injury to occupants, shark rammed boat",N,
1880-05-02,India,West Bengal,Bathing,"FATAL, right leg severed at mid-thigh, femur severed ",Y,
1880-05-02,India,West Bengal,Bathing in river,"FATAL, left forearm & hand bitten, brachial artery severed, died of secondary hemorrhage 11 days later ",Y,
1880-05-14,India,West Bengal,Bathing in river,"Hands, forearm & left thigh lacerated, radial artery severed",N,
1880-05-15,India,West Bengal,,"Left hand severed, arm & right calf injured",N,
1880-07-25,Usa,New York,Sailing,"Shark bit stern, no injury to occupant",N,
1880-08-08,Mozambique,,Swimming to retrieve a flannel,Legs severed FATAL,Y,
1880-10-10,Australia,New South Wales,Traveling by boat,"Disappeared, thought to have murdered or drowned or  taken by a sharks after entrails washed ashore",Y,
1880-11-25,Australia,Queensland,Swimming,"Feet bitten, surgically amputated FATAL",Y,Bull Shark
1881-06-13,Usa,Alabama,Fell overboard,FATAL,Y,
1881-08-12,Usa,Rhode Island,Swimming,"No injury, overalls ripped by shark",N,
1881-08-16,,Western Banks,"Floating, holding onto an oar after dory capsized",FATAL,Y,
1881-09-05,Usa,North Carolina,Bathing,"FATAL, possible post-mortem bites",Y,
1881-10-16,Usa,Florida,Bathing,FATAL,,
1881-11-13,Australia,New South Wales,Swimming,Shark involvement suspected but not confirmed,,
1882-01-05,Atlantic Ocean,,Fell overboard from the Selim,FATAL,Y,
1882-01-23,Australia,New South Wales,Bathing,FATAL,Y,
1882-02-07,Australia,,Pearl diving,FATAL                       Thigh bitten,Y,
1882-04-15,Australia,New South Wales,Fishing,FATAL,Y,
1882-05-12,Australia,,Pearl diving,FATAL      Torso bitten,Y,
1882-05-14,Australia,New South Wales,Fell overboard,Laceration to calf,N,
1882-11-12,New Zealand,North Island,Bathing,Lacerations to thigh,N,
1882-11-12,New Zealand,North Island,Bathing,Sole of foot bitten,N,
1882-12-03,New Zealand,South Island,Restraining a beached shark,Hand severely nipped PROVOKED INCIDENT ,N,
1883-01-21,Australia,New South Wales,Bathing,FATAL,Y,
1883-02-25,Australia,Northern Territory,Diving,FATAL,Y,
1883-02-26,Australia,Northern Territory,Diving,Arm severed,N,
1883-07-05,Georgia,,Fishing for sharks,Leg injured by hooked shark PROVOKED INCIDENT,N,
1883-09-14,Australia,Tasmania,Swimming / escaping imprisonment ,FATAL,Y,
1883-10-19,Usa,East Coast,Jumped overboard ,FATAL,Y,
1883-10-20,Uruguay,Maldonado Coast,Fell overboard & rescuer,FATAL,Y,
1883-12-18,Usa,Texas,Knocked overboard,FATAL,Y,
1883-12-19,Australia,New South Wales,Swimming,FATAL,Y,
1884-01-14,Australia,South Australia,Fell overboard,FATAL,Y,
1884-01-16,South Africa,Eastern Cape Province,Swimming,FATAL,Y,
1884-04-28,Brazil,,Fell overboard from the steamship Chala,FATAL,Y,
1884-08-18,Usa,New York,Clamming,Unclear if he sustained any injury from the 7' shark,,
1884-08-28,Usa,New Jersey,Boating,Hand bitten,N,
1884-12-08,France,C�Te D'Azur,,FATAL            Leg severed by harpooned shark PROVOKED INCIDENT,Y,
1884-12-13,Australia,South Australia,yachting accident,"Cause of death most likely drowning, remains recovered in shark",Y,
1885-03-28,South Africa,Kwazulu-Natal,Fishing,"No injury to occupant, rammed oar in shark's mouth and it bit the oar ",N,
1885-04-09,New Zealand,North Island,Bathing,Lacerations to lower leg,N,
1885-07-26,Usa,Hawaii,Wreck of the schooner Pohoiki ,FATAL,Y,
1885-07-26,Usa,Hawaii,Wreck of the schooner Pohoiki ,Left arm severed,N,
1885-07-26,Usa,Hawaii,Wreck of the schooner Pohoiki ,Laceration to torso,N,
1885-08-17,Atlantic Ocean,,Fell or jumped overboard from the liner Rhynland,FATAL,Y,
1885-11-26,Australia,Western Australia,Bathing,Laceration to calf,N,
1885-11-26,Australia,Queensland,,"No injury to occupant, shark bit off section of the boat's rudder",N,
1886-01-01,South Africa,Western Cape Province,Swimming,FATAL. Partial remains washed ashore the next day,Y,
1886-01-26,Australia,Queensland,Diving alongsidethe steamship Ranelagh ,Foot bitten,N,
1886-01-28,South Africa,Eastern Cape Province,Diving off jetty,"Chest & buttocks bitten, left leg severed at knee",N,
1886-02-13,Australia,Victoria,Fishing,"No injury to occupants, shark shook boat ""stem to stern""",N,
1886-03-06,New Zealand,South Island,Bathing ,Left leg severed. Probably confusion with GSAF 1886.01.28,,
1886-04-11,New Zealand,South Island,Sea disaster : Wreck of the Taiaroa,Probable drowning & scavenging,,
1886-04-26,Australia,Queensland,Oystering,Wrist bitten,N,
1886-05-06,New Caledonia,South Province,Bathing,FATAL,Y,
1886-06-02,Usa,Hawaii,"Fishing from shore, washed into the sea","The body of one woman had been bitten by a shark but it is not known if she was alive at the time, the other woman disappeared",,
1886-06-17,Australia,Queensland,Swimming after being washed overboard,FATAL,Y,
1887-01-12,South Africa,Eastern Cape Province,Swimming,"FATAL, flesh removed hip to knee, calf & heel bitten ",Y,
1887-01-20,Brazil,Alagoas,The passenger ship Kapuna was run down the ore carrier Ada Melmore,FATAL,Y,
1887-02-08,New Zealand,North Island,Swimming,FATAL,Y,
1887-02-08,South Africa,Western Cape Province,,"Harpooned shark, bit boat, causing it to ship water. Boat reached shore in sinking condition PROVOKED INCIDENT",N,
1887-03-12,Australia,South Australia,Rowing a dinghy,No injury to occupants,N,
1887-07-30,,Gulf Of California,"Sea disaster, wreck of the sloop Sara",FATAL,Y,
1887-09-22,Italy,,Swimming,Leg injured,N,
1887-10-18,Usa,Florida,"Crossing inlet in a boat, seen fighting sharks with his oar, sharks smashed boat",FATAL,Y,
1887-12-04,Australia,New South Wales,,FATAL,Y,
1887-12-22,Honduras,Cort�S,Fell oveboard from steamer Wanderer,FATAL,Y,
1888-01-22,Australia,New South Wales,Rowing,"Shark bit boat, but no injury to occupant who swam ashore",N,
1888-02-17,New Zealand,South Island,Floating on his back,"Arm severely lacerated, surgically amputated",N,The Shark
1888-06-18,Australia,Victoria,The cutter yacht Cutty Sark sank,Probable drowning & scavenging,,
1888-06-24,Australia,Victoria,Fishing,"No injury to occupants, shark holed boat",N,
1888-07-13,India,Gujarat,The Dwarka foundered,"FATAL, only 1 of her crew of 7 survived",Y,
1888-08-01,Usa,New York,Sailing,No injury to occupants. Shark beat away with oar,N,
1888-08-14,Canada,Nova Scotia,The steamships Thingvalla and Geiser collided,FATAL,Y,
1888-10-23,Croatia,Primorje-Gorski Kotar County,,Human remains found in shark,Y,Female Shark
1888-10-24,Australia,Torres Strait,Swimming,FATAL,Y,
1888-12-09,Australia,New South Wales,Swimming,FATAL,Y,
1888-12-25,Indian Ocean,Between Perth & Colombo,Swimming,Foot severed,N,
1889-01-31,Usa,Florida,Fishing,No injury to occupants. Gaffed shark capsized boat PROVOKED INCIDENT,N,
1889-07-08,Australia,Victoria,Fell into the water,FATAL ,Y,
1889-07-19,Usa,Texas,Fishing,Leg bitten,N,
1889-07-21,Usa,Florida,Swimming,"FATAL, calf bitten",Y,
1889-10-03,India,Tamil Nadu,Swimming,FATAL,Y,
1889-11-16,Usa,Hawaii,Parachuted from balloon,Speculated that he was taken by a shark but most likely drowned,,
1889-11-22,Australia,Queensland,Fell into the water,FATAL,Y,
1890-02-25,Malta,Munxar Reef,"Fishing boat with 4 men on board was rammed & capsized by  a shark, throwing all occupants into the water","FATAL, 2 men were lost, presumed taken by the shark",Y,
1890-03-03,Ceylon,,Diving,FATAL,Y,
1890-06-02,Egypt,,Swimming,FATAL,Y,
1890-06-14,Persian Gulf,,Fell overboard,Severe lacerations to foot,N,
1890-08-08,Samoa,Upolu Island,Bathing,Both legs severed,N,
1890-08-17,Usa,New Jersey,Fishing for bluefish,No injury to occupants. Hooked shark damaged boat PROVOKED INCIDENT,N,
1890-10-25,Atlantic Ocean,,Thrown overboard,FATAL,Y,
1890-12-27,British New Guinea,Woodlark Islands,Thrown overboard,Arm bitten,N,
1890-12-30,Australia,Queensland,Swimming to shore after boat capsized by a squall,"Fatal, but death may have been due to drowning",,
1891-01-08,Jamaica,Kingston Parish,boat capsized,FATAL,Y,
1891-03-10,Paraguay,,Fleeing across a river,FATAL,Y,
1891-06-11,Usa,Virginia,Fishing for sharks when he became entangled in net & fell overboard,"Fatal, but death may have been due to drowning",,
1891-08-29,Usa,New Jersey,Shooting sharks ,"Survived, PROVOKED INCIDENT",N,
1891-08-30,Canada,Nova Scotia,Knocked overboard,FATAL,Y,
1891-09-14,Kiribati,Line Islands,"Sea Disaster, canoes capsized in storm","FATAL. Of 38 people in the water, 8 were killed by sharks & 1 man's leg was severed",Y,
1891-11-29,Martinique,,Attempting to rescue shipmate,Injured,N,
1891-12-22,New Zealand,North Island,"Swimming, after boat swamped",Hand bitten,N,
1891-12-31,Australia,New South Wales,Swimming,Foot severed,N,
1892-03-02,Australia,New South Wales,Fishing,Lacerations to calf by netted shark PROVOKED INCIDENT,N,
1892-03-25,Pacific Ocean,, a canoe was pursuing a schooner that had forcibily abducted 5 young girls,6 or 8 of the would-be rescuers were shot & the rest were killed by sharks,Y,
1892-04-21,Bahamas,Out Islands,Fell overboard from sponge vessel,"FATAL, leg severed",Y,
1892-05-19,New Zealand,North Island,Bathing,Minor injury to leg,N,
1892-06-20,Cuba,Havana Province,Riding a horse,FATAL,Y,
1892-06-24,France,Brittany,Fishing boat,"No injury, no attack",,
1892-09-16,Usa,Texas,,Hand bitten,N,
1892-11-06,Australia,Queensland,Swimming,Abrasions to left leg,N,
1892-11-09,Australia,Norfolk Island,Fishing,Laceration to arm,N,
1892-12-15,Atlantic Ocean,,Fell overboard,FATAL,Y,
1893-01-18,French Polynesia,,Murdered,FATAL.Tossed overboard to sharks by Rodrigue brothers who were later executed in Manila,Y,
1893-01-30,New Zealand,South Island?,Bathing,FATAL,Y,
1893-04-04,Australia,Tasmania,"Boat capsized, swimming ashore","Fatal, probable drowning",,
1893-04-14,Australia,Queensland,"Boat capsized, swimming ashore",Leg bitten,N,
1893-04-15,South Atlantic Ocean,,Swimming after falling overboard from the sealing ship Vesper,"One leg severed by the shark, the other surgically amputated",N,
1893-05-17,Cuba,Havana Province,His balloon crashed in the harbor,FATAL,Y,
1893-05-23,Fiji,,Canoe swamped,FATAL,Y,
1893-06-22,Lebanon,,HMS Victoria collided with the HMS Camperdown,FATAL,Y,
1893-06-22,Nigeria,Bayelsa State,A barque wrecked,FATAL,Y,
1893-07-03,Philippines,Luzon Island,Abandoning burning steamship Don Juan,FATAL,Y,
1893-10-16,Croatia,Primorje-Gorski Kotar County,small boat,No injury; no attack,,
1893-10-20,India,Bay Of Bengal,Murder,FATAL,Y,
1894-04-28,Burma,Rangoon,Bathing,FATAL ,Y,
1894-04-28,Burma,Rangoon,Bathing,FATAL,Y,
1894-06-15,Mexico,Bay Of Campeche,Fell from yardarm of British ship Rover,FATAL ,Y,
1894-06-15,Usa,North Carolina,Bathing ,Right leg bitten,N,
1894-06-25,South Africa,Western Cape Province,Swimming after harpooned whale capsized boat,FATAL,Y,
1894-06-29,Usa,Florida,Bathing,"""Painfully injured"" but no details",,
1894-07-15,France,Provence,Fishing,No injury,Y,
1894-08-01,Usa,Florida,Swimming / floating on his back,Lacerations to thigh,N,
1894-08-21,Usa,New York,Swimming,No injury,,Shovelnose Shark
1894-09-01,Usa,Texas,Fishing,Laceration to calf  PROVOKED INCIDENT,N,
1894-09-06,Fiji,Vita Levu,Dangling feet in the water,Foot severed,N,
1894-09-12,Usa,Virginia,Bathing,Lacerations to leg,N,
1894-10-06,Usa,Alabama,Swimming,FATAL,Y,
1894-11-28,Australia,New South Wales,Bathing,"""Lost his arm""",N,
1894-12-11,Usa,Florida,Fishing,Left leg bitten PROVOKED INCIDENT,N,
1895-02-23,Panama,Bocas Del Toro,"Swimming, after sailboat capsized",FATAL,Y,
1895-02-27,Australia,New South Wales,Swimming,FATAL,Y,
1895-03-15,Australia,Queensland,Swimming,Lower leg & foot bitten,N,
1895-03-29,Indonesia,Moluccas,Swimming,FATAL,Y,
